Date,Open,High,Low,Close,Adj Close,Volume,oc_diff,symbol,Name
2018-06-19,6742.39013671875,6822.5,6709.919921875,6769.93994140625,6769.93994140625,4057029888,27.5498046875,BTC,Bitcoin
2018-06-20,6770.759765625,6821.56005859375,6611.8798828125,6776.5498046875,6776.5498046875,3888640000,5.7900390625,BTC,Bitcoin
2018-06-21,6780.08984375,6810.93994140625,6715.169921875,6729.740234375,6729.740234375,3529129984,-50.349609375,BTC,Bitcoin
2018-06-22,6737.8798828125,6747.080078125,6006.60009765625,6083.68994140625,6083.68994140625,5079810048,-654.18994140625,BTC,Bitcoin
2018-06-23,6090.10009765625,6224.81982421875,6071.81005859375,6162.47998046875,6162.47998046875,3431360000,72.3798828125,BTC,Bitcoin
2018-06-24,6164.27978515625,6223.77978515625,5826.41015625,6173.22998046875,6173.22998046875,4566909952,8.9501953125,BTC,Bitcoin
2018-06-25,6171.97021484375,6327.3701171875,6119.68017578125,6249.18017578125,6249.18017578125,5500810240,77.2099609375,BTC,Bitcoin
2018-06-26,6253.5498046875,6290.16015625,6093.669921875,6093.669921875,6093.669921875,3279759872,-159.8798828125,BTC,Bitcoin
2018-06-27,6084.39990234375,6180.0,6052.85009765625,6157.1298828125,6157.1298828125,3296219904,72.72998046875,BTC,Bitcoin
2018-06-28,6153.16015625,6170.41015625,5873.0498046875,5903.43994140625,5903.43994140625,3467800064,-249.72021484375,BTC,Bitcoin
2018-06-29,5898.1298828125,6261.66015625,5835.75,6218.2998046875,6218.2998046875,3966230016,320.169921875,BTC,Bitcoin
2018-06-30,6214.22021484375,6465.509765625,6214.22021484375,6404.0,6404.0,4543860224,189.77978515625,BTC,Bitcoin
2018-07-01,6411.68017578125,6432.85009765625,6289.2900390625,6385.81982421875,6385.81982421875,4788259840,-25.8603515625,BTC,Bitcoin
2018-07-02,6380.3798828125,6683.85986328125,6305.7001953125,6614.18017578125,6614.18017578125,4396930048,233.80029296875,BTC,Bitcoin
2018-07-03,6596.66015625,6671.3701171875,6447.75,6529.58984375,6529.58984375,4672309760,-67.0703125,BTC,Bitcoin
2018-07-04,6550.8701171875,6771.919921875,6450.4599609375,6597.5498046875,6597.5498046875,4176689920,46.6796875,BTC,Bitcoin
2018-07-05,6599.7099609375,6749.5400390625,6546.64990234375,6639.14013671875,6639.14013671875,4999240192,39.43017578125,BTC,Bitcoin
2018-07-06,6638.68994140625,6700.93994140625,6533.5498046875,6673.5,6673.5,4313959936,34.81005859375,BTC,Bitcoin
2018-07-07,6668.7099609375,6863.990234375,6579.240234375,6856.93017578125,6856.93017578125,3961080064,188.22021484375,BTC,Bitcoin
2018-07-08,6857.7998046875,6885.91015625,6747.97998046875,6773.8798828125,6773.8798828125,3386210048,-83.919921875,BTC,Bitcoin
2018-07-09,6775.080078125,6838.68017578125,6724.33984375,6741.75,6741.75,3718129920,-33.330078125,BTC,Bitcoin
2018-07-10,6739.2099609375,6767.740234375,6320.72021484375,6329.9501953125,6329.9501953125,4052430080,-409.259765625,BTC,Bitcoin
2018-07-11,6330.77001953125,6444.9599609375,6330.47021484375,6394.7099609375,6394.7099609375,3644859904,63.93994140625,BTC,Bitcoin
2018-07-12,6396.77978515625,6397.10009765625,6136.419921875,6228.81005859375,6228.81005859375,3770170112,-167.9697265625,BTC,Bitcoin
2018-07-13,6235.02978515625,6310.5498046875,6192.240234375,6238.0498046875,6238.0498046875,3805400064,3.02001953125,BTC,Bitcoin
2018-07-14,6247.5,6298.18994140625,6212.22021484375,6276.1201171875,6276.1201171875,2923670016,28.6201171875,BTC,Bitcoin
2018-07-15,6272.7001953125,6403.4599609375,6256.509765625,6359.64013671875,6359.64013671875,3285459968,86.93994140625,BTC,Bitcoin
2018-07-16,6357.009765625,6741.75,6357.009765625,6741.75,6741.75,4725799936,384.740234375,BTC,Bitcoin
2018-07-17,6739.64990234375,7387.240234375,6684.169921875,7321.0400390625,7321.0400390625,5961950208,581.39013671875,BTC,Bitcoin
2018-07-18,7315.31982421875,7534.990234375,7280.47021484375,7370.77978515625,7370.77978515625,6103410176,55.4599609375,BTC,Bitcoin
